Angle,9_nw,0_mw,20_mw,test
-89.5,0.011818946,0.006662498,0.019405296,0.88231966
-88.5,0.011859709,0.006727916,0.018914825,0.002269952
-87.5,0.011692368,0.006783269,0.017698657,0.002124001
-86.5,0.011464957,0.006683256,0.017603566,0.002112589
-85.5,0.011076642,0.006581356,0.016377389,0.001965437
-84.5,0.010896429,0.006621613,0.015835202,0.001900369
-83.5,0.010647564,0.006358056,0.014952688,0.001794459
-82.5,0.010536004,0.006487004,0.014345438,0.001721584
-81.5,0.009836607,0.006272511,0.013449578,0.001614073
-80.5,0.009789409,0.006425361,0.012852338,0.001542398
-79.5,0.008995615,0.006332267,0.011774637,0.001413064
-78.5,0.009122193,0.006277543,0.011312527,0.001357607
-77.5,0.008789658,0.006329751,0.010992219,0.001319167
-76.5,0.00883042,0.0062159,0.010321575,0.001238684
-75.5,0.008105279,0.006274398,0.009562513,0.001147589
-74.5,0.007916484,0.006300187,0.009282244,0.001113954
-73.5,0.007549623,0.00617124,0.008700019,0.001044082
-72.5,0.007538896,0.006358056,0.008127803,0.000975411
-71.5,0.007558204,0.006211497,0.007548914,0.000905939
-70.5,0.007208506,0.006282575,0.007188568,0.000862694
-69.5,0.006826627,0.006302074,0.006721453,0.000806636
-68.5,0.006863098,0.00606305,0.006331078,0.000759787
-67.5,0.006446893,0.00596744,0.006200953,0.000744171
-66.5,0.006399694,0.005949827,0.005787222,0.00069452
-65.5,0.005865493,0.005810816,0.005468583,0.00065628
-64.5,0.005650954,0.005767414,0.005146607,0.00061764
-63.5,0.005640227,0.005726528,0.00481629,0.000577999
-62.5,0.005507213,0.005817735,0.00452768,0.000543363
-61.5,0.005369908,0.005741624,0.004302464,0.000516335
-60.5,0.005114607,0.005601355,0.004047219,0.000485703
-59.5,0.005099589,0.005734705,0.003852031,0.000462279
-58.5,0.004921522,0.005656708,0.003691878,0.000443059
-57.5,0.004824979,0.005710174,0.003523382,0.000422838
-56.5,0.004758472,0.005642869,0.003343209,0.000401216
-55.5,0.004831415,0.005715206,0.003358224,0.000403018
-54.5,0.004839997,0.005607016,0.003069613,0.000368382
-53.5,0.004599713,0.005623999,0.002889441,0.000346759
-52.5,0.00449888,0.005518954,0.00293782,0.000352565
-51.5,0.004481717,0.005490648,0.002827715,0.000339352
-50.5,0.004157763,0.005366733,0.002722614,0.000326739
-49.5,0.004314377,0.005402587,0.002540772,0.000304916
-48.5,0.004132019,0.005459827,0.002479047,0.000297508
-47.5,0.004106274,0.005360443,0.00243734,0.000292503
-46.5,0.003994714,0.005357298,0.002434003,0.000292103
-45.5,0.004014022,0.005308864,0.00234058,0.000280891
-44.5,0.003988278,0.005310122,0.002240484,0.000268879
-43.5,0.0038617,0.005213254,0.002237148,0.000268478
-42.5,0.003900317,0.00516482,0.002163744,0.000259669
-41.5,0.003846682,0.005174884,0.002075326,0.000249058
-40.5,0.003816647,0.005179916,0.002081999,0.000249859
-39.5,0.003919625,0.005159788,0.002000254,0.000240049
-38.5,0.003870281,0.005153498,0.001971893,0.000236645
-37.5,0.003848827,0.005123934,0.001930186,0.00023164
-36.5,0.003715813,0.005019518,0.001946869,0.000233642
-35.5,0.00364287,0.005100661,0.001856783,0.000222831
-34.5,0.003730831,0.005023292,0.00178171,0.000213822
-33.5,0.003675051,0.00500568,0.001838432,0.000220629
-32.5,0.003767303,0.005002535,0.001883475,0.000226034
-31.5,0.003649306,0.004941521,0.001736667,0.000208416
-30.5,0.003241682,0.0049736,0.001763359,0.000211619
-29.5,0.003301753,0.004800622,0.001721653,0.000206614
-28.5,0.003406877,0.004801251,0.00161822,0.000194201
-27.5,0.003445494,0.004806283,0.001691624,0.00020301
-26.5,0.003445494,0.004866668,0.001499773,0.000179987
-25.5,0.003342516,0.004862894,0.001496437,0.000179586
-24.5,0.003548473,0.004871071,0.001564836,0.000187795
-23.5,0.003254555,0.004828299,0.001419696,0.000170377
-22.5,0.003409023,0.004891829,0.001506446,0.000180787
-21.5,0.003316771,0.004774203,0.001458066,0.000174981
-20.5,0.003258845,0.004721995,0.001513119,0.000181588
-19.5,0.003310335,0.004689287,0.001499773,0.000179987
-18.5,0.00314514,0.004717592,0.001518124,0.000182189
-17.5,0.003170885,0.004793703,0.001438047,0.000172579
-16.5,0.00322881,0.004813202,0.001434711,0.000172178
-15.5,0.00311725,0.004832073,0.001464739,0.000175782
-14.5,0.003074342,0.004864781,0.001418028,0.000170176
-13.5,0.003121541,0.004705641,0.001449725,0.00017398
-12.5,0.003151576,0.00468111,0.001369648,0.00016437
-11.5,0.002924165,0.004655949,0.001439715,0.000172779
-10.5,0.003067906,0.004724511,0.001354634,0.000162568
-9.5,0.003007835,0.004751559,0.001429706,0.000171578
-8.5,0.002949909,0.004677336,0.001491432,0.000178985
-7.5,0.002872675,0.004714447,0.001403014,0.000168374
-6.5,0.003048597,0.004638337,0.001296244,0.000155561
-5.5,0.003063615,0.00453455,0.001389667,0.000166773
-4.5,0.002864094,0.004571661,0.00148309,0.000177984
-3.5,0.002917729,0.004635821,0.001443052,0.000173179
-2.5,0.003121541,0.004562855,0.001451393,0.00017418
-1.5,0.003254555,0.004522599,0.001369648,0.00016437
-0.5,0.003080778,0.004633305,0.001464739,0.000175782
0.5,0.003286735,0.004617579,0.001324605,0.000158965
1.5,0.003132268,0.004659723,0.001479754,0.000177584
2.5,0.003209501,0.004571032,0.001391336,0.000166973
3.5,0.003110814,0.004723882,0.001434711,0.000172178
4.5,0.003007835,0.0046874,0.001359639,0.000163169
5.5,0.003046452,0.00457292,0.001446389,0.00017358
6.5,0.002939183,0.004606257,0.001411355,0.000169376
7.5,0.003190193,0.004563484,0.001324605,0.000158965
8.5,0.003177321,0.004615692,0.001543148,0.000185192
9.5,0.00306147,0.004597451,0.001439715,0.000172779
10.5,0.003142994,0.004734576,0.001498105,0.000179786
11.5,0.003007835,0.004751559,0.001558163,0.000186994
12.5,0.003132268,0.004688029,0.001511451,0.000181388
13.5,0.003112959,0.004608773,0.001508114,0.000180988
14.5,0.003153721,0.004616321,0.001633235,0.000196003
15.5,0.003093651,0.004713189,0.001593196,0.000191198
16.5,0.002928456,0.004796219,0.001716648,0.000206013
17.5,0.003158012,0.004753446,0.001701634,0.000204212
18.5,0.003072197,0.004852201,0.001790052,0.000214823
19.5,0.002962782,0.004828299,0.001786715,0.000214422
20.5,0.003215938,0.004970455,0.0018401,0.000220829
21.5,0.003147285,0.004908183,0.001805066,0.000216624
22.5,0.003215938,0.004959133,0.001771701,0.00021262
23.5,0.003269572,0.004990584,0.001850109,0.00022203
24.5,0.002986381,0.0048912,0.001908499,0.000229037
25.5,0.003162303,0.005056001,0.001911835,0.000229438
26.5,0.003052888,0.004971713,0.001893484,0.000227235
27.5,0.00320092,0.005153498,0.001933523,0.00023204
28.5,0.003409023,0.005123934,0.001906831,0.000228837
29.5,0.003112959,0.005099403,0.002070321,0.000248457
30.5,0.003106523,0.004967939,0.00216708,0.000260069
31.5,0.003134413,0.005064178,0.002118701,0.000254263
32.5,0.003233101,0.00505034,0.002297205,0.000275686
33.5,0.003265282,0.005067323,0.002283859,0.000274084
34.5,0.003224519,0.005078016,0.002432335,0.000291902
35.5,0.003404732,0.005267978,0.002430667,0.000291702
36.5,0.003314626,0.005237786,0.002530763,0.000303715
37.5,0.003668615,0.005261059,0.00251408,0.000301713
38.5,0.003572072,0.005280558,0.002539104,0.000304716
39.5,0.003793047,0.005429005,0.00268758,0.000322534
40.5,0.003951806,0.005398184,0.002814368,0.00033775
41.5,0.004211398,0.005401329,0.002897782,0.00034776
42.5,0.0041406,0.005361072,0.003042921,0.000365178
43.5,0.004509607,0.005367991,0.003261464,0.000391406
44.5,0.004749891,0.005473036,0.003191397,0.000382997
45.5,0.004902213,0.005374281,0.003424955,0.000411026
46.5,0.004932249,0.00550889,0.003471666,0.000416632
47.5,0.005204713,0.005576194,0.003625147,0.000435051
48.5,0.005095298,0.005686271,0.003828676,0.000459476
49.5,0.005127479,0.005774333,0.003883728,0.000466083
50.5,0.005239039,0.005815219,0.004005512,0.000480698
51.5,0.005151078,0.005836605,0.00409393,0.000491309
52.5,0.005387071,0.00591649,0.004324151,0.000518938
53.5,0.005567284,0.005974359,0.00485466,0.000582604
54.5,0.005696007,0.006136644,0.004978112,0.000597419
55.5,0.005835457,0.006069969,0.00520166,0.000624247
56.5,0.005916982,0.006208981,0.005580357,0.000669694
57.5,0.006215191,0.006301445,0.006070828,0.000728555
58.5,0.006384677,0.006191368,0.006235987,0.000748375
59.5,0.006614233,0.006325348,0.006339419,0.000760788
60.5,0.006893134,0.00618382,0.006846573,0.000821651
61.5,0.0071184,0.006275027,0.006864924,0.000823854
62.5,0.007410173,0.006392023,0.007261971,0.000871503
63.5,0.007766307,0.006442973,0.007593957,0.000911344
64.5,0.007802779,0.006368121,0.007852538,0.000942376
65.5,0.008081679,0.006424732,0.008618274,0.001034272
66.5,0.008081679,0.006468763,0.008925235,0.00107111
67.5,0.008414214,0.006471908,0.009452408,0.001134375
68.5,0.008521484,0.006560598,0.010024624,0.001203047
69.5,0.008600863,0.00653418,0.010139734,0.001216861
70.5,0.008959143,0.006531035,0.01110733,0.001332981
71.5,0.009437565,0.006726658,0.011182402,0.001341991
72.5,0.009662831,0.006626645,0.011816344,0.001418069
73.5,0.009986784,0.006768172,0.012683843,0.001522177
74.5,0.010250667,0.006726658,0.013474602,0.001617076
75.5,0.010233504,0.006777608,0.014235333,0.00170837
76.5,0.010424444,0.006790817,0.014482236,0.001738001
77.5,0.010394408,0.006893346,0.015244635,0.001829496
78.5,0.011117404,0.00687825,0.016123812,0.001935005
79.5,0.011261145,0.00695436,0.0164241,0.001971042
80.5,0.011346961,0.00702481,0.017221533,0.002066742
81.5,0.0115379,0.006914732,0.017955571,0.002154833
82.5,0.011552918,0.007039906,0.018803051,0.002256538
83.5,0.011488556,0.006878879,0.019518738,0.002342427
84.5,0.011904762,0.007005939,0.019909113,0.002389276
85.5,0.011791056,0.006906555,0.02006593,0.002408095
86.5,0.011705241,0.006737351,0.019929132,0.002391678
87.5,0.011934797,0.006727287,0.020269459,0.002432521
88.5,0.011921925,0.006627903,0.020211069,0.002425513
89.5,0.011956251,0.006704013,0.019638853,0.002356842
